"id","name","short_name","confirmation_media","type","supplements","hasDate","confirmation_controls","active","used_for_prediction","prediction_qom","prediction_default_quant","acceptable_range"
"153","Listeria Special Broth 1","LSB - 1","0","1","[]","1","[]","1","0","1","18",NA
"154","Rappaport Vassiliadis Soya Broth | bevestigingen","RVS","1","1","[]","1","[]","1","0","1","18",NA
"155","MKTTN (Mueller Kauffman Tetrathionate Novobiocin) | bevestigingen","Mueller Kaufman","1","1","[]","1","[]","1","0","1","18",NA
"156","Agar Listeria according to Ottaviani and Agosti | bevestigingen","ALOA","1","1","[]","1","[]","1","0","1","18",NA
"157","Rapid L.mono Medium | bevestigingen","RLM","1","1","[]","1","[]","1","0","1","18",NA
"158","BAT-agar | bevestiging","BAT","1","1","[]","1","{""pos"":true,""neg"":true,""blank"":true}","1","0","1","18",NA
"159","BAT-agar","BAT","0","1","[]","1","[]","1","0","1","18",NA
"160","Dilumat 115","Dilumat 115 - controlegewicht","0","3","gram","1","[]","1","0","1","18",">22,79<23,27"
"161","Dilumat 166","Dilumat 166 - controlegewicht","0","3","gram","1","[]","1","0","1","18",">22,79<23,27"
"162","Plate Count Agar - Rodac","PCA - Rodac","0","1","[]","1","[]","1","0","1","18",NA
"163","Tryptone Sulfite Cycloserine agar","TSC","0","1","[]","1","[]","1","1","1","18",NA
"164","Pipet nummer (afdeling pipetteren)","ID-nummer - Pipet","0","3","","1","[]","1","0","1","18",NA
"165","Dilumat 184","Dilumat 184 - controlegewicht","0","3","gram","1","[]","1","0","1","18",">22,79<23,27"
"166","Oxytetracycline Glucose Yeast extract agar DUBBEL STERKTE","OGY dubbel","0","1","[{""supplementId"":0,""name"":""Oxytetracycline""}]","1","[]","1","0","1","18",NA
"167","Groei op Coloriex of CCDA","Groei op Coloriex / CCDA?","1","1","[]","1","[]","1","0","1","18",NA
"168","MUG/EC Microplates/Kit Enterococcen","MPN plaat Enterococcen","0","1","[]","1","[]","1","0","1","18",NA
"169","Violet Red Bile Glucose agar - Rodac","VRBG - Rodac","0","1","[]","1","[]","1","0","1","18",NA
"170","Violet Red Bile Lactose agar - Rodac","VRBL - Rodac","0","1","[]","1","[]","1","0","1","18",NA
"171","Baird Parker agar - Rodac","BP-platen - Rodac","0","1","[]","1","[]","1","0","1","18",NA
"172","Oxytetracycline Glucose Yeast extract agar - Rodac","OGY - Rodac","0","1","[{""supplementId"":0,""name"":""Oxytetracycline""}]","1","[]","1","0","1","18",NA
"173","Listeria Special Broth 2","LSB - 2","0","1","[]","1","[]","1","0","1","18",NA
"174","Tryptone Sojabouillon U.S.P.","TSB","0","1","[]","1","[]","1","0","1","18",NA
"175","Oxytetracycline Glucose Yeast extract agar met chloramfenicol","YGC","0","1","[]","1","[]","1","0","1","18",NA
"176","Symphony agar","SYM","0","1","[]","1","[]","1","1","1","9",NA
"177","Symphony agar - Rodac","SYM - Rodac","0","1","[]","1","[]","1","0","1","18",NA
"178","RAPID’P. aeruginosa Agar","RPSA","0","1","[]","1","[]","1","0","1","18",NA
"179","Baird Parker + Rabbit Plasma Fibrinogen bevestigingen","BP-RPF (bevestigingen)","1","1","[]","1","[]","1","0","1","18",NA
